name,group,calorie,carbohydrate,protein,lipid,salt
こめ　［陸稲穀粒］　七分つき米　　,1,358,73.4,9.5,1.5,0
こめ　［陸稲穀粒］　精白米　　,1,357,74.5,9.3,0.9,0
こめ　［陸稲めし］　玄米　　,1,164,34.3,4.1,1,0
こめ　［陸稲めし］　半つき米　　,1,166,35.3,3.8,0.6,0
こめ　［陸稲めし］　七分つき米　　,1,168,35.7,3.6,0.5,0
こめ　［陸稲めし］　精白米　　,1,168,36.1,3.5,0.3,0
こめ　［うるち米製品］　アルファ化米　一般用　,1,388,84.8,6,1,0
こめ　［うるち米製品］　アルファ化米　学校給食用強化品　,1,388,84.8,6,1,0
こめ　［うるち米製品］　おにぎり　　,1,179,39.4,2.7,0.3,0.5
こめ　［うるち米製品］　焼きおにぎり　　,1,181,39.5,3.1,0.3,1
こめ　［うるち米製品］　きりたんぽ　　,1,210,46.2,3.2,0.4,0
こめ　［うるち米製品］　上新粉　　,1,362,78.5,6.2,0.9,0
こめ　［うるち米製品］　玄米粉　　,1,395,84.1,7.1,2.9,0
こめ　［うるち米製品］　米粉　　,1,374,81.9,6,0.7,0
こめ　［うるち米製品］　米粉パン　　,1,255,51.3,3.4,3.1,0.9
こめ　［うるち米製品］　米粉めん　　,1,265,58.4,3.6,0.7,0.1
こめ　［うるち米製品］　ビーフン　　,1,377,79.9,7,1.6,0
こめ　［うるち米製品］　米こうじ　　,1,286,59.2,5.8,1.7,0
こめ　［もち米製品］　もち　　,1,234,50.8,4,0.6,0
こめ　［もち米製品］　赤飯　　,1,190,41.9,4.3,0.6,0
こめ　［もち米製品］　あくまき　　,1,132,25.7,2.3,1.8,0
こめ　［もち米製品］　白玉粉　　,1,369,80,6.3,1,0
こめ　［もち米製品］　道明寺粉　　,1,372,80.4,7.1,0.7,0
こめ　［その他］　米ぬか　　,1,412,48.8,13.4,19.6,0
そば　そば粉　全層粉　　,1,361,69.6,12,3.1,0
そば　そば粉　内層粉　　,1,359,77.6,6,1.6,0
そば　そば粉　中層粉　　,1,360,71.6,10.2,2.7,0
そば　そば粉　表層粉　　,1,358,65.1,15,3.6,0
そば　そば米　　　,1,364,73.7,9.6,2.5,0
そば　そば　生　　,1,274,54.5,9.8,1.9,0
そば　そば　ゆで　　,1,132,26,4.8,1,0
そば　干しそば　乾　　,1,344,66.7,14,2.3,2.2
そば　干しそば　ゆで　　,1,114,22.1,4.8,0.7,0.1
とうもろこし　玄穀　黄色種　　,1,350,70.6,8.6,5,0
とうもろこし　玄穀　白色種　　,1,350,70.6,8.6,5,0
とうもろこし　コーンミール　黄色種　　,1,363,72.4,8.3,4,0
とうもろこし　コーンミール　白色種　　,1,363,72.4,8.3,4,0
とうもろこし　コーングリッツ　黄色種　　,1,355,76.4,8.2,1,0
とうもろこし　コーングリッツ　白色種　　,1,355,76.4,8.2,1,0
とうもろこし　コーンフラワー　黄色種　　,1,363,76.1,6.6,2.8,0
とうもろこし　コーンフラワー　白色種　　,1,363,76.1,6.6,2.8,0
とうもろこし　ジャイアントコーン　フライ　味付け　　,1,435,76.6,5.7,11.8,1.1
とうもろこし　ポップコーン　　　,1,484,59.6,10.2,22.8,1.4
とうもろこし　コーンフレーク　　　,1,381,83.6,7.8,1.7,2.1
はとむぎ　精白粒　　　,1,360,72.2,13.3,1.3,0
ひえ　精白粒　　　,1,366,73.2,9.4,3.3,0
もろこし　玄穀　　　,1,352,71.1,10.3,4.7,0
もろこし　精白粒　　　,1,364,74.1,9.5,2.6,0
ライむぎ　全粒粉　　　,1,334,70.7,12.7,2.7,0
ライむぎ　ライ麦粉　　　,1,351,75.8,8.5,1.6,0
穀類混合品　五穀　,1,357,70.2,12.6,2.8,0
＜いも類＞きくいも　塊茎　生　　　,2,35,14.7,1.9,0.4,0
＜いも類＞きくいも　塊茎　水煮　　　,2,28,11.3,1.6,0.5,0
＜いも類＞こんにゃく　精粉　　　,2,177,85.3,3,0.1,0
＜いも類＞こんにゃく　板こんにゃく　精粉こんにゃく　　,2,5,2.3,0.1,0,0
＜いも類＞こんにゃく　板こんにゃく　生いもこんにゃく　　,2,7,3.3,0.1,0.1,0
＜いも類＞こんにゃく　赤こんにゃく　　　,2,5,2.5,0.1,0,0
＜いも類＞こんにゃく　凍みこんにゃく　乾　　,2,167,77.1,3.3,1.4,0.1
＜いも類＞こんにゃく　凍みこんにゃく　ゆで　　,2,36,16.8,0.7,0.3,0
＜いも類＞こんにゃく　しらたき　　　,2,6,3,0.2,0,0
＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　生　　,2,134,31.9,1.2,0.2,0
＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　蒸し　　,2,134,31.9,1.2,0.2,0
＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　焼き　　,2,163,39,1.4,0.2,0
＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　生　　,2,140,33.1,0.9,0.5,0.1
＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　蒸し　　,2,140,33.7,0.9,0.2,0.1
＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　天ぷら　　,2,221,38.4,1.4,6.8,0.1
＜いも類＞（さつまいも類）さつまいも　蒸し切干　　　,2,303,71.9,3.1,0.6,0
