name,group,calorie,carbohydrate,protein,lipid,salt
穀類混合品・五穀,1,357,70.2,12.6,2.8,0
きくいも・塊茎・生,2,35,14.7,1.9,0.4,0
きくいも・塊茎・水煮,2,28,11.3,1.6,0.5,0
こんにゃく・精粉,2,177,85.3,3,0.1,0
こんにゃく・板こんにゃく・精粉こんにゃく,2,5,2.3,0.1,0,0
こんにゃく・板こんにゃく・生いもこんにゃく,2,7,3.3,0.1,0.1,0
こんにゃく・赤こんにゃく,2,5,2.5,0.1,0,0
こんにゃく・凍みこんにゃく・乾,2,167,77.1,3.3,1.4,0.1
こんにゃく・凍みこんにゃく・ゆで,2,36,16.8,0.7,0.3,0
こんにゃく・しらたき,2,6,3,0.2,0,0
さつまいも・塊根・皮むき・生,2,134,31.9,1.2,0.2,0
さつまいも・塊根・皮むき・蒸し,2,134,31.9,1.2,0.2,0
さつまいも・塊根・皮むき・焼き,2,163,39,1.4,0.2,0
さつまいも・塊根・皮つき・生,2,140,33.1,0.9,0.5,0.1
さつまいも・塊根・皮つき・蒸し,2,140,33.7,0.9,0.2,0.1
さつまいも・塊根・皮つき・天ぷら,2,221,38.4,1.4,6.8,0.1
さつまいも・蒸し切干,2,303,71.9,3.1,0.6,0
むらさきいも・塊根・皮むき・生,2,133,31.7,1.2,0.3,0.1
むらさきいも・塊根・皮むき・蒸し,2,132,31.4,1.2,0.3,0.1
さといも・球茎・生,2,58,13.1,1.5,0.1,0
さといも・球茎・水煮,2,59,13.4,1.5,0.1,0
さといも・球茎・冷凍,2,72,16.1,2.2,0.1,0
セレベス・球茎・生,2,89,19.8,2.2,0.3,0
セレベス・球茎・水煮,2,85,19.1,2.1,0.3,0
たけのこいも・球茎・生,2,103,23.5,1.7,0.4,0
たけのこいも・球茎・水煮,2,96,21.8,1.6,0.4,0
みずいも・球茎・生,2,117,27.6,0.7,0.4,0
みずいも・球茎・水煮,2,110,26.1,0.7,0.4,0
やつがしら・球茎・生,2,97,20.5,3,0.7,0
やつがしら・球茎・水煮,2,93,20,2.7,0.6,0
じゃがいも・塊茎・生,2,76,17.6,1.6,0.1,0
じゃがいも・塊茎・蒸し,2,84,19.7,1.5,0.1,0
じゃがいも・塊茎・水煮,2,73,16.8,1.5,0.1,0
じゃがいも・フライドポテト,2,237,32.4,2.9,10.6,0
じゃがいも・乾燥マッシュポテト,2,357,82.8,6.6,0.6,0.2
ヤーコン・塊根・生,2,54,12.4,0.6,0.3,0
ヤーコン・塊根・水煮,2,44,9.9,0.6,0.3,0
ながいも・いちょういも・塊根・生,2,108,22.6,4.5,0.5,0
ながいも・ながいも・塊根・生,2,65,13.9,2.2,0.3,0
ながいも・ながいも・塊根・水煮,2,59,12.6,2,0.3,0
ながいも・やまといも・塊根・生,2,123,27.1,4.5,0.2,0
じねんじょ・塊根・生,2,121,26.7,2.8,0.7,0
だいじょ・塊根・生,2,109,25,2.6,0.1,0.1
キャッサバでん粉,2,346,85.3,0.1,0.2,0
くずでん粉,2,347,85.6,0.2,0.2,0
米でん粉,2,366,89.3,0.2,0.7,0
小麦でん粉,2,351,86,0.2,0.5,0
サゴでん粉,2,349,86.1,0.1,0.2,0
さつまいもでん粉,2,332,82,0.1,0.2,0
じゃがいもでん粉,2,330,81.6,0.1,0.1,0
とうもろこしでん粉,2,354,86.3,0.1,0.7,0
くずきり・乾,2,356,87.7,0.2,0.2,0
くずきり・ゆで,2,135,33.3,0.1,0.1,0
ごま豆腐,2,81,9.1,1.5,4.3,0
タピオカパール・乾,2,355,87.8,0,0.2,0
タピオカパール・ゆで,2,62,15.4,0,0,0
でん粉めん・生,2,131,32.2,0.1,0.2,0
でん粉めん・乾,2,353,86.7,0.2,0.3,0.1
でん粉めん・乾・ゆで,2,84,20.6,0,0.2,0
はるさめ・緑豆はるさめ・乾,2,356,87.5,0.2,0.4,0
はるさめ・緑豆はるさめ・ゆで,2,84,20.6,0,0.1,0
はるさめ・普通はるさめ・乾,2,350,86.6,0,0.2,0
はるさめ・普通はるさめ・ゆで,2,80,19.9,0,0,0
黒砂糖,3,354,89.7,1.7,0,0.1
和三盆糖,3,383,98.8,0.2,0,0
車糖・上白糖,3,384,99.2,0,0,0
車糖・三温糖,3,382,98.7,0,0,0
ざらめ糖・グラニュー糖,3,387,100,0,0,0
ざらめ糖・白ざら糖,3,387,100,0,0,0
ざらめ糖・中ざら糖,3,387,100,0,0,0
加工糖・角砂糖,3,387,100,0,0,0
加工糖・氷砂糖,3,387,100,0,0,0
加工糖・コーヒーシュガー,3,387,99.9,0.1,0,0
加工糖・粉糖,3,386,99.7,0,0,0
液糖・しょ糖型液糖,3,271,70,0,0,0
液糖・転化型液糖,3,307,79.3,0,0,0
氷糖みつ,3,265,68.2,0.2,0,0
粉あめ,3,381,97,0,0,0
水あめ・酵素糖化,3,328,85,0,0,0
水あめ・酸糖化,3,328,85,0,0,0
ぶどう糖・全糖,3,335,91,0,0,0
ぶどう糖・含水結晶,3,336,91.3,0,0,0
ぶどう糖・無水結晶,3,367,99.7,0,0,0
果糖,3,368,99.9,0,0,0
異性化液糖・ぶどう糖果糖液糖,3,276,75,0,0,0
異性化液糖・果糖ぶどう糖液糖,3,276,75,0,0,0
異性化液糖・高果糖液糖,3,276,75,0,0,0
黒蜜,3,199,50.5,1,0,0
はちみつ,3,294,79.7,0.2,0,0
メープルシロップ,3,257,66.3,0.1,0,0
あずき・全粒・乾,4,339,58.7,20.3,2.2,0
あずき・全粒・ゆで,4,143,24.2,8.9,1,0
あずき・ゆで小豆缶詰,4,218,49.2,4.4,0.4,0.2
あずき・あん・こしあん,4,155,27.1,9.8,0.6,0
あずき・あん・さらしあん,4,385,66.8,26.2,1,0
あずき・あん・つぶしあん,4,244,54,5.6,0.6,0.1
いんげんまめ・全粒・乾,4,333,57.8,19.9,2.2,0
いんげんまめ・全粒・ゆで,4,143,24.8,8.5,1,0
いんげんまめ・うずら豆,4,237,49.6,6.7,1.3,0.3
いんげんまめ・こしあん,4,155,27,9.4,0.9,0
いんげんまめ・豆きんとん,4,249,56.2,4.9,0.5,0.3
えんどう・全粒・青えんどう・乾,4,352,60.4,21.7,2.3,0
えんどう・全粒・赤えんどう・乾,4,352,60.4,21.7,2.3,0
えんどう・全粒・青えんどう・ゆで,4,148,25.2,9.2,1,0
えんどう・全粒・赤えんどう・ゆで,4,148,25.2,9.2,1,0
えんどう・グリンピース・,4,423,58.8,20.8,11.6,0.9
えんどう・塩豆,4,364,61.5,23.3,2.4,1.5
えんどう・うぐいす豆,4,240,52.9,5.6,0.7,0.4
ささげ・全粒・乾,4,336,55,23.9,2,0
ささげ・全粒・ゆで,4,145,23.8,10.2,0.9,0
そらまめ・全粒・乾,4,348,55.9,26,2,0
そらまめ・フライビーンズ,4,472,46.4,24.7,20.8,1.8
そらまめ・おたふく豆,4,251,52.2,7.9,1.2,0.4
そらまめ・ふき豆,4,263,52.5,9.6,1.6,0.8
そらまめ・しょうゆ豆,4,196,37.1,9.8,0.9,1.2
だいず・全粒・国産・黄大豆・乾,4,422,29.5,33.8,19.7,0
だいず・全粒・国産・黒大豆・乾,4,414,30.8,33.9,18.1,0
だいず・全粒・国産・黄大豆・ゆで,4,176,8.4,14.8,9.8,0
だいず・全粒・米国産・黄大豆・乾,4,433,28.8,33,21.7,0
だいず・全粒・中国産・黄大豆・乾,4,422,30.8,32.8,19.5,0
だいず・全粒・ブラジル産・黄大豆・乾,4,451,30.7,33.6,22.6,0
だいず・いり大豆・黄大豆,4,439,33.3,37.5,21.6,0
だいず・いり大豆・黒大豆,4,442,34.3,36.4,22,0
だいず・いり大豆・青大豆,4,435,33.9,37.7,20.7,0
だいず・水煮缶詰・黄大豆,4,140,7.7,12.9,6.7,0.5
だいず・蒸し大豆・黄大豆,4,205,13.8,16.6,9.8,0.6
だいず・きな粉・全粒大豆・黄大豆,4,450,28.5,36.7,25.7,0
だいず・きな粉・全粒大豆・青大豆,4,431,29.3,37,22.8,0
だいず・きな粉・脱皮大豆・黄大豆,4,451,29.5,37.5,25.1,0
だいず・大豆はいが,4,442,39.5,37.8,14.7,0
だいず・ぶどう豆,4,289,37,14.1,9.4,1.6
だいず・木綿豆腐,4,72,1.6,6.6,4.2,0.1
だいず・絹ごし豆腐,4,56,2,4.9,3,0
だいず・ソフト豆腐,4,59,2,5.1,3.3,0
だいず・充てん豆腐,4,59,2.5,5,3.1,0
だいず・沖縄豆腐,4,106,0.7,9.1,7.2,0.4
だいず・ゆし豆腐,4,50,1.7,4.3,2.8,0.6
だいず・焼き豆腐,4,88,1,7.8,5.7,0
だいず・生揚げ,4,150,0.9,10.7,11.3,0
だいず・油揚げ・生,4,410,0.4,23.4,34.4,0
だいず・油揚げ・油抜き・生,4,288,0,18.2,23.4,0
だいず・油揚げ・油抜き・焼き,4,398,0.7,24.9,32.2,0
だいず・油揚げ・油抜き・ゆで,4,177,0.3,12.4,13.8,0
だいず・がんもどき,4,228,1.6,15.3,17.8,0.5
だいず・凍り豆腐・乾,4,536,4.2,50.5,34.1,1.1
だいず・凍り豆腐・水煮,4,115,1.1,10.7,7.3,0.7
だいず・豆腐よう,4,189,19.1,9.5,8.3,1.9
だいず・豆腐竹輪・蒸し,4,126,6.7,14.9,4.4,1.9
だいず・豆腐竹輪・焼き,4,139,7.5,16.1,4.9,2.3
だいず・ろくじょう豆腐,4,347,3.8,34.7,21.5,11
だいず・糸引き納豆,4,200,12.1,16.5,10,0
だいず・挽きわり納豆,4,194,10.5,16.6,10,0
だいず・五斗納豆,4,227,24,15.3,8.1,5.8
だいず・寺納豆,4,271,31.5,18.6,8.1,14.2
だいず・おから・生,4,111,13.8,6.1,3.6,0
だいず・おから・乾燥,4,421,52.3,23.1,13.6,0
だいず・豆乳・豆乳,4,46,3.1,3.6,2,0
だいず・豆乳・調製豆乳,4,64,4.8,3.2,3.6,0.1
だいず・豆乳・豆乳飲料・麦芽コーヒー,4,60,7.8,2.2,2.2,0.1
だいず・大豆たんぱく・粒状大豆たんぱく,4,360,36.7,46.3,3,0
だいず・大豆たんぱく・濃縮大豆たんぱく,4,361,27.9,58.2,1.7,1.4
だいず・大豆たんぱく・分離大豆たんぱく・塩分無調整タイプ,4,388,7.5,79.1,3,3.3
だいず・大豆たんぱく・分離大豆たんぱく・塩分調整タイプ,4,388,7.5,79.1,3,1.6
だいず・大豆たんぱく・繊維状大豆たんぱく,4,383,25.2,59.3,5,3.6
だいず・湯葉・生,4,231,4.1,21.8,13.7,0
だいず・湯葉・干し・乾,4,530,7.2,50.4,32.1,0
だいず・湯葉・干し・湯戻し,4,161,0.1,15.7,10.6,0
だいず・金山寺みそ,4,256,50,6.9,3.2,5.1
だいず・ひしおみそ,4,206,38.8,6.5,2.7,4.8
だいず・テンペ,4,202,15.4,15.8,9,0
つるあずき・全粒・乾,4,348,61.8,20.8,1.6,0
つるあずき・全粒・ゆで,4,159,27.5,9.7,1,0
ひよこまめ・全粒・乾,4,374,61.5,20,5.2,0
ひよこまめ・全粒・ゆで,4,171,27.4,9.5,2.5,0
ひよこまめ・全粒・フライ・味付け,4,419,62.6,18.8,10.4,1.8
べにばないんげん・全粒・乾,4,332,61.2,17.2,1.7,0
べにばないんげん・全粒・ゆで,4,121,22.3,6.2,0.6,0
らいまめ・全粒・乾,4,351,60.8,21.9,1.8,0
らいまめ・全粒・ゆで,4,152,26,9.6,0.9,0
りょくとう・全粒・乾,4,354,59.1,25.1,1.5,0
りょくとう・全粒・ゆで,4,137,22.5,10.2,0.6,0
レンズまめ・全粒・乾,4,352,60.7,23.2,1.5,0
レンズまめ・全粒・ゆで,4,170,29.1,11.2,0.8,0
アーモンド・乾,5,587,20.9,19.6,51.8,0
アーモンド・フライ・味付け,5,606,22.3,19.2,53.6,0.3
アーモンド・いり・無塩,5,608,20.7,20.3,54.1,0
あさ・乾,5,463,31.3,29.5,27.9,0
あまに・いり,5,564,30.5,21.9,43.5,0.2
えごま・乾,5,544,29.4,17.7,43.4,0
カシューナッツ・フライ・味付け,5,576,26.7,19.8,47.6,0.6
かぼちゃ・いり・味付け,5,574,12,26.5,51.8,0.1
かや・いり,5,665,22.6,8.7,64.9,0
ぎんなん・生,5,171,34.8,4.7,1.6,0
ぎんなん・ゆで,5,174,35.8,4.6,1.5,0
日本ぐり・生,5,164,36.9,2.8,0.5,0
日本ぐり・ゆで,5,167,36.7,3.5,0.6,0
日本ぐり・甘露煮,5,238,56.8,1.8,0.4,0
中国ぐり・甘ぐり,5,222,48.5,4.9,0.9,0
くるみ・いり,5,674,11.7,14.6,68.8,0
けし・乾,5,567,21.8,19.3,49.1,0
ココナッツ・ココナッツパウダー,5,668,23.7,6.1,65.8,0
ごま・乾,5,578,18.4,19.8,51.9,0
ごま・いり,5,599,18.5,20.3,54.2,0
ごま・むき,5,603,18.8,19.3,54.9,0
ごま・ねり,5,605,18.7,20.5,54.7,0
しい・生,5,252,57.6,3.2,0.8,0
すいか・いり・味付け,5,546,13.4,29.6,46.4,1.5
とち・蒸し,5,161,34.2,1.7,1.9,0.6
はす・未熟・生,5,85,14.9,5.9,0.5,0
はす・成熟・乾,5,344,64.3,18.3,2.3,0
はす・成熟・ゆで,5,133,25,7.3,0.8,0
ひし・生,5,190,40.6,5.8,0.5,0
ピスタチオ・いり・味付け,5,615,20.9,17.4,56.1,0.7
ひまわり・フライ・味付け,5,611,17.2,20.1,56.3,0.6
ブラジルナッツ・フライ・味付け,5,669,9.6,14.9,69.1,0.2
ヘーゼルナッツ・フライ・味付け,5,684,13.9,13.6,69.3,0.1
ペカン・フライ・味付け,5,702,13.3,9.6,73.4,0.4
マカダミアナッツ・いり・味付け,5,720,12.2,8.3,76.7,0.5
まつ・生,5,669,10.6,15.8,68.2,0
まつ・いり,5,690,8.1,14.6,72.5,0
らっかせい・乾・大粒種,5,562,18.8,25.4,47.5,0
らっかせい・乾・小粒種,5,562,18.8,25.4,47.5,0
らっかせい・いり・大粒種,5,585,19.6,26.5,49.4,0
らっかせい・いり・小粒種,5,585,19.6,26.5,49.4,0
らっかせい・バターピーナッツ,5,592,18.2,25.5,51.3,0.3
らっかせい・ピーナッツバター,5,640,20.5,25.4,50.7,0.9
アーティチョーク・花らい・生,6,48,11.3,2.3,0.2,0.1
アーティチョーク・花らい・ゆで,6,45,10.8,2.1,0.1,0
あさつき・葉・生,6,33,5.6,4.2,0.3,0
あさつき・葉・ゆで,6,39,7.3,4.2,0.3,0
あしたば・茎葉・生,6,33,6.7,3.3,0.1,0.2
あしたば・茎葉・ゆで,6,31,6.6,2.9,0.1,0.1
アスパラガス・若茎・生,6,22,3.9,2.6,0.2,0
アスパラガス・若茎・ゆで,6,24,4.6,2.6,0.1,0
アスパラガス・若茎・油いため,6,57,4.1,2.9,3.9,0
アスパラガス・水煮缶詰,6,22,4.3,2.4,0.1,0.9
アロエ・葉・生,6,3,0.7,0,0.1,0
いんげんまめ・さやいんげん・若ざや・生,6,23,5.1,1.8,0.1,0
いんげんまめ・さやいんげん・若ざや・ゆで,6,26,5.5,1.8,0.2,0
うど・茎・生,6,18,4.3,0.8,0.1,0
うど・茎・水さらし,6,14,3.4,0.6,0,0
やまうど・茎・生,6,19,4.3,1.1,0.1,0
えだまめ・生,6,135,8.8,11.7,6.2,0
えだまめ・ゆで,6,134,8.9,11.5,6.1,0
えだまめ・冷凍,6,159,10.6,13,7.6,0
エンダイブ・葉・生,6,15,2.9,1.2,0.2,0.1
トウミョウ・茎葉・生,6,27,4,3.8,0.4,0
トウミョウ・芽ばえ・生,6,24,3.2,3.8,0.4,0
トウミョウ・芽ばえ・ゆで,6,27,3.8,3.6,0.6,0
トウミョウ・芽ばえ・油いため,6,82,4.3,5,5.9,0
さやえんどう・若ざや・生,6,36,7.5,3.1,0.2,0
さやえんどう・若ざや・ゆで,6,34,7,3.2,0.2,0
スナップえんどう・若ざや・生,6,43,9.9,2.9,0.1,0
グリンピース・生,6,93,15.3,6.9,0.4,0
グリンピース・ゆで,6,110,18.5,8.3,0.2,0
グリンピース・冷凍,6,98,17.2,5.6,0.7,0.2
グリンピース・水煮缶詰,6,98,19.7,3.6,0.4,0.8
おおさかしろな・葉・生,6,13,2.2,1.4,0.2,0.1
おおさかしろな・葉・ゆで,6,17,3.1,1.6,0.3,0.1
おおさかしろな・塩漬,6,22,4.5,1.3,0.3,1.6
おかひじき・茎葉・生,6,17,3.4,1.4,0.2,0.1
おかひじき・茎葉・ゆで,6,17,3.8,1.2,0.1,0.2
オクラ・果実・生,6,30,6.6,2.1,0.2,0
オクラ・果実・ゆで,6,33,7.6,2.1,0.1,0
かぶ・葉・生,6,20,3.9,2.3,0.1,0.1
かぶ・葉・ゆで,6,22,4.4,2.3,0.1,0
かぶ・根・皮つき・生,6,20,4.6,0.7,0.1,0
かぶ・根・皮つき・ゆで,6,21,4.7,0.7,0.1,0
かぶ・根・皮むき・生,6,21,4.8,0.6,0.1,0
かぶ・根・皮むき・ゆで,6,22,5,0.6,0.1,0
かぶ・漬物・塩漬・葉,6,29,6,2.3,0.2,2.3
かぶ・漬物・塩漬・根・皮つき,6,23,4.9,1,0.2,2.8
かぶ・漬物・塩漬・根・皮むき,6,21,4.7,0.8,0.1,4.3
かぶ・漬物・ぬかみそ漬・葉,6,34,7.1,3.3,0.1,3.8
かぶ・漬物・ぬかみそ漬・根・皮つき,6,28,5.9,1.5,0.1,2.2
かぶ・漬物・ぬかみそ漬・根・皮むき,6,31,6.9,1.4,0.1,6.9
日本かぼちゃ・果実・生,6,49,10.9,1.6,0.1,0
日本かぼちゃ・果実・ゆで,6,60,13.3,1.9,0.1,0
西洋かぼちゃ・果実・生,6,91,20.6,1.9,0.3,0
西洋かぼちゃ・果実・ゆで,6,93,21.3,1.6,0.3,0
西洋かぼちゃ・果実・焼き,6,122,27.7,2.5,0.4,0
西洋かぼちゃ・果実・冷凍,6,83,18.5,2.2,0.3,0
